kon222,koff,statistic,Run ID,Date,Seed
1000000000.0,0.1,100.0,run_2025-02-07_13-29-13_seed_2,2025-02-07,2
1000000000.0,1.0,98.0,run_2025-02-07_13-29-19_seed_2,2025-02-07,2
10000000000.0,0.0001,100.0,run_2025-02-07_13-29-24_seed_2,2025-02-07,2
10000000000.0,0.001,100.0,run_2025-02-07_13-29-28_seed_2,2025-02-07,2
10000000000.0,0.01,100.0,run_2025-02-07_13-29-33_seed_2,2025-02-07,2
10000000000.0,0.1,100.0,run_2025-02-07_13-29-38_seed_2,2025-02-07,2
10000000000.0,1.0,98.0,run_2025-02-07_13-29-43_seed_2,2025-02-07,2
100000000.0,0.01,100.0,run_2025-02-12_11-20-22_seed_2,2025-02-12,2
100000000.0,0.01,100.0,run_2025-02-12_11-21-14_seed_2,2025-02-12,2
100000000.0,0.01,100.0,run_2025-02-12_12-15-42_seed_2,2025-02-12,2
100000000.0,0.01,100.0,run_2025-02-13_12-24-49_seed_2,2025-02-13,2
100000000.0,,51.0,run_2025-02-13_12-46-15_seed_2,2025-02-13,2
100000000.0,,0.0,run_2025-02-13_12-53-04_seed_2,2025-02-13,2
100000000.0,,0.0,run_2025-02-13_12-53-39_seed_2,2025-02-13,2
100000000.0,,0.0,run_2025-02-13_13-29-11_seed_2,2025-02-13,2
100000000.0,,0.0,run_2025-03-26_13-32-22_seed_2,2025-03-26,2
100000000.0,,0.0,run_2025-03-26_13-35-53_seed_2,2025-03-26,2
100000000.0,,0.0,run_2025-03-26_13-36-26_seed_2,2025-03-26,2
100000000.0,,0.0,run_2025-03-26_13-40-53_seed_2,2025-03-26,2
100000000.0,,50.0,run_2025-03-26_13-42-49_seed_2,2025-03-26,2
100000000.0,,50.0,run_2025-03-26_13-43-23_seed_2,2025-03-26,2
20.0,,50.0,run_2025-04-04_11-19-11_seed_2,2025-04-04,2
