0 1000
0.0001 937
0.0002 888
0.0003 847
0.0004 806
0.0005 765
0.0006 729
0.0007 692
0.0008 662
0.0009 629
0.001 600
0.0011 579
0.0012 552
0.0013 531
0.0014 512
0.0015 486
0.0016 473
0.0017 459
0.0018 448
0.0019 433
0.002 416
0.0021 400
0.0022 386
0.0023 372
0.0024 355
0.0025 342
0.0026 333
0.0027 320
0.0028 312
0.0029 305
0.003 300
0.0031 292
0.0032 281
0.0033 272
0.0034 267
0.0035 255
0.0036 250
0.0037 243
0.0038 234
0.0039 229
0.004 226
0.0041 220
0.0042 213
0.0043 210
0.0044 204
0.0045 203
0.0046 200
0.0047 196
0.0048 191
0.0049 182
0.005 176
0.0051 170
0.0052 165
0.0053 160
0.0054 156
0.0055 152
0.0056 149
0.0057 148
0.0058 143
0.0059 141
0.006 140
0.0061 134
0.0062 132
0.0063 132
0.0064 124
0.0065 120
0.0066 115
0.0067 111
0.0068 107
0.0069 107
0.007 105
0.0071 98
0.0072 96
0.0073 95
0.0074 93
0.0075 90
0.0076 89
0.0077 88
0.0078 86
0.0079 85
0.008 82
0.0081 81
0.0082 78
0.0083 77
0.0084 77
0.0085 76
0.0086 76
0.0087 76
0.0088 72
0.0089 72
0.009 71
0.0091 71
0.0092 70
0.0093 68
0.0094 68
0.0095 65
0.0096 65
0.0097 63
0.0098 61
0.0099 58
0.01 58
