0 0
0.0001 63
0.0002 112
0.0003 153
0.0004 194
0.0005 235
0.0006 271
0.0007 308
0.0008 338
0.0009 371
0.001 400
0.0011 421
0.0012 448
0.0013 469
0.0014 488
0.0015 514
0.0016 527
0.0017 541
0.0018 552
0.0019 567
0.002 584
0.0021 600
0.0022 614
0.0023 628
0.0024 645
0.0025 658
0.0026 667
0.0027 680
0.0028 688
0.0029 695
0.003 700
0.0031 708
0.0032 719
0.0033 728
0.0034 733
0.0035 745
0.0036 750
0.0037 757
0.0038 766
0.0039 771
0.004 774
0.0041 780
0.0042 787
0.0043 790
0.0044 796
0.0045 797
0.0046 800
0.0047 804
0.0048 809
0.0049 818
0.005 824
0.0051 830
0.0052 835
0.0053 840
0.0054 844
0.0055 848
0.0056 851
0.0057 852
0.0058 857
0.0059 859
0.006 860
0.0061 866
0.0062 868
0.0063 868
0.0064 876
0.0065 880
0.0066 885
0.0067 889
0.0068 893
0.0069 893
0.007 895
0.0071 902
0.0072 904
0.0073 905
0.0074 907
0.0075 910
0.0076 911
0.0077 912
0.0078 914
0.0079 915
0.008 918
0.0081 919
0.0082 922
0.0083 923
0.0084 923
0.0085 924
0.0086 924
0.0087 924
0.0088 928
0.0089 928
0.009 929
0.0091 929
0.0092 930
0.0093 932
0.0094 932
0.0095 935
0.0096 935
0.0097 937
0.0098 939
0.0099 942
0.01 942
