Value,Parameter
100.0,A_i
150.0,B_i
1e-08,D_SURF
0.0001,D_VOL
100.0,ITERATIONS
0.0001,MCELL_DIFFUSION_CONSTANT_3D_A
0.0001,MCELL_DIFFUSION_CONSTANT_3D_B
0.0001,MCELL_DIFFUSION_CONSTANT_3D_C
602200000.0,NA_um3
602200000.0,VOL_RXN
0.50588,VolCP
0.0307,VolPM
0.01,koff
0.16605778811026237,kon
